stock,buy_date,sell_date,buy_price,sell_price,hold_days,profit_loss_pct
SBICARD,2023-10-30,2023-11-16,750.5,772.7,17,2.9580279813457757
SBICARD,2023-11-17,2023-12-07,734.0,769.75,20,4.870572207084469
INTELLECT,2022-10-31,2022-12-02,432.5,471.85,32,9.098265895953762
INTELLECT,2023-05-12,2023-06-14,532.0,613.0,33,15.225563909774436
INTELLECT,2023-07-28,2023-08-31,692.6,734.0,34,5.9774761767253795
MANAPPURAM,2022-02-15,2022-02-16,127.75,125.65,1,-1.6438356164383519
MANAPPURAM,2023-05-03,2023-05-04,113.85,118.5,1,4.084321475625829
RBLBANK,2022-06-13,2022-07-21,87.6,95.0,38,8.447488584474891
BANDHANBNK,2022-10-31,2022-12-13,239.4,251.45,43,5.033416875522131
IPCALAB,2022-08-12,2022-09-26,927.5,890.0,45,-4.0431266846361185
IPCALAB,2023-04-25,2023-06-06,743.5,746.8,42,0.44384667114996024
IPCALAB,2023-10-23,2023-12-05,993.0,1139.45,43,14.748237663645522
MRF,2023-05-03,2023-06-13,93600.0,99900.0,41,6.730769230769231
ADANIPORTS,2023-01-27,2023-03-08,604.5,711.9,40,17.7667493796526
INDIAMART,2023-07-21,2023-08-08,3138.0,3183.85,18,1.46112173358827
COROMANDEL,2022-04-28,2022-05-24,906.05,974.0,26,7.499586115556542
METROPOLIS,2022-11-16,2022-12-02,1438.3,1477.85,16,2.7497740387957976
PIIND,2022-11-09,2022-12-19,3621.4,3560.75,40,-1.6747666648257604
DIXON,2023-01-27,2023-03-03,2729.45,2988.9,35,9.505578046859268
HDFCAMC,2022-08-16,2022-09-15,2183.0,2010.95,30,-7.8813559322033875
HDFCAMC,2023-06-20,2023-07-20,2108.05,2518.0,30,19.446882189701373
ASTRAL,2023-05-16,2023-06-13,1692.0,2007.0,28,18.617021276595743
HINDCOPPER,2023-11-13,2023-12-28,161.0,272.5,45,69.25465838509317
PFC,2023-08-31,2023-09-29,206.6,252.65,29,22.289448209099717
MOTHERSON,2022-10-18,2022-12-01,64.1,74.0,44,15.444617784711397
MOTHERSON,2023-03-16,2023-05-04,68.7,75.4,49,9.752547307132463
AUROPHARMA,2022-11-10,2022-11-15,478.85,491.8,5,2.7043959486269165
SHREECEM,2023-06-26,2023-07-05,23740.0,24502.0,9,3.209772535804549
M&MFIN,2022-09-23,2022-11-04,193.5,217.5,42,12.4031007751938
M&MFIN,2022-11-03,2022-12-14,218.95,236.5,41,8.01552865951131
M&MFIN,2023-10-30,2023-12-08,245.4,273.5,39,11.450692746536264
DIVISLAB,2023-02-03,2023-03-01,2876.35,2846.0,26,-1.0551567090235858
DIVISLAB,2023-04-12,2023-05-10,3209.95,3418.7,28,6.503216561005623
PEL,2023-06-21,2023-07-27,957.3,1098.0,36,14.697586963334382
BSOFT,2023-05-09,2023-06-02,308.25,347.6,24,12.76561232765613
MUTHOOTFIN,2022-08-16,2022-09-28,1043.0,1042.0,43,-0.09587727708533077
MUTHOOTFIN,2023-05-22,2023-07-04,1122.45,1245.8,43,10.989353646042131
IEX,2023-06-09,2023-06-20,122.8,130.7,11,6.433224755700319
