stock,buy_date,sell_date,buy_price,sell_price,hold_days,profit_loss_pct,trade_profit
BALRAMCHIN,2020-09-17,2020-11-18,159.15,149.9,43,-5.812126924285265,-11624.25384857053
BALRAMCHIN,2020-09-18,2020-11-18,160.35,149.9,42,-6.516994075459924,-13033.988150919848
BALRAMCHIN,2021-03-08,2021-09-27,214.4,354.0,136,65.11194029850745,130223.88059701491
ICICIBANK,2020-06-02,2020-06-04,349.25,348.65,2,-0.1717967072297846,-343.5934144595692
ICICIBANK,2020-07-23,2020-08-20,394.8,366.85,20,-7.079533941236066,-14159.06788247213
ICICIBANK,2020-08-27,2020-12-15,392.75,516.7,76,31.559516231699565,63119.032463399126
ICICIBANK,2020-08-28,2020-12-15,409.4,516.7,75,26.209086468001974,52418.172936003946
ICICIBANK,2020-10-08,2020-12-15,387.15,516.7,47,33.462482242025075,66924.96448405016
ICICIBANK,2020-10-09,2020-12-15,403.0,516.7,46,28.213399503722098,56426.79900744419
ICICIBANK,2020-11-06,2020-12-15,443.65,516.7,26,16.46568240730307,32931.36481460614
ICICIBANK,2020-12-31,2021-08-05,534.0,701.5,147,31.367041198501873,62734.082397003745
ICICIBANK,2021-02-04,2021-08-05,626.25,701.5,123,12.015968063872256,24031.936127744513
ICICIBANK,2021-10-21,2021-10-26,758.2,831.8,3,9.707201266156675,19414.40253231335
ICICIBANK,2022-08-17,2022-10-07,882.6,883.25,35,0.07364604577384741,147.2920915476948
IGL,2023-04-12,2023-11-13,482.0,392.1,147,-18.65145228215767,-37302.904564315344
MARUTI,2022-03-22,2022-09-16,7763.95,9174.0,122,18.161502843269215,36323.00568653843
MARUTI,2022-05-26,2022-09-16,7817.7,9174.0,78,17.349092444069232,34698.184888138465
MARUTI,2022-08-04,2022-09-16,8964.0,9174.0,28,2.3427041499330654,4685.4082998661315
HAL,2020-06-10,2020-08-11,328.0,508.58,44,55.05487804878049,110109.75609756097
HAL,2020-06-11,2020-08-11,331.45,508.58,43,53.44094131844924,106881.88263689849
HAL,2020-10-05,2021-01-15,410.7,485.0,72,18.091064037009986,36182.12807401997
HAL,2020-12-01,2021-01-15,414.88,485.0,32,16.901272657153875,33802.545314307754
HAL,2021-01-06,2021-01-15,471.0,485.0,7,2.9723991507431,5944.7983014862
HAL,2021-02-08,2021-04-05,518.5,500.98,37,-3.378977820636448,-6757.955641272896
BATAINDIA,2020-06-05,2020-12-01,1414.95,1545.0,125,9.191137496024592,18382.274992049184
DLF,2023-01-05,2023-02-17,372.9,364.25,30,-2.3196567444354996,-4639.313488870999
DLF,2023-03-22,2023-09-15,367.85,530.95,120,44.33872502378687,88677.45004757374
DLF,2023-04-10,2023-09-15,404.5,530.95,110,31.260815822002485,62521.63164400497
DLF,2023-04-11,2023-09-15,405.25,530.95,109,31.01789019123999,62035.78038247998
SYNGENE,2020-12-17,2021-05-28,617.3,589.1,108,-4.568281224688148,-9136.562449376295
SYNGENE,2021-03-17,2021-05-28,535.0,589.1,47,10.112149532710285,20224.29906542057
ULTRACEMCO,2020-05-14,2020-12-07,3590.0,5056.0,144,40.83565459610028,81671.30919220056
ULTRACEMCO,2020-11-13,2020-12-07,4909.35,5056.0,15,2.9871571592980666,5974.314318596133
ULTRACEMCO,2022-11-04,2023-03-20,6894.55,7235.8,93,4.949561610257377,9899.123220514755
ULTRACEMCO,2023-01-17,2023-03-20,7376.0,7235.8,42,-1.9007592190889346,-3801.518438177869
