stock,buy_date,sell_date,buy_price,sell_price,quantity,profit,profit_percent
HEROMOTOCO,2017-12-29,2018-01-08,3807.0,3784.75,52.0,-1157.0,-0.005844496979248753
ITC,2018-01-05,2018-01-08,263.0,265.75,760.0,2090.0,0.010456273764258554
HDFCBANK,2018-01-09,2018-01-10,931.35,930.22,214.0,-241.81999999997788,-0.001213292532345515
BRITANNIA,2018-01-08,2018-01-11,2345.02,2367.5,85.0,1910.7999999999884,0.00958627218531186
ITC,2018-01-10,2018-01-11,269.35,269.95,742.0,445.19999999998254,0.0022275849266752026
ICICIBANK,2018-01-11,2018-01-12,308.85,317.25,647.0,5434.799999999988,0.027197668771248105
UPL,2018-01-08,2018-01-12,522.47,517.33,382.0,-1963.4799999999814,-0.009837885428828423
NTPC,2018-01-12,2018-01-15,143.71,144.46,1391.0,1043.25,0.0052188435042794514
BAJAJ-AUTO,2018-01-12,2018-01-15,3175.0,3164.95,62.0,-623.1000000000058,-0.0031653543307087187
ITC,2018-01-15,2018-01-16,267.75,262.6,746.0,-3841.899999999994,-0.019234360410830913
BPCL,2018-01-11,2018-01-16,491.7,479.0,406.0,-5156.1999999999825,-0.025828757372381512
EICHERMOT,2018-01-15,2018-01-24,2791.23,2640.1,71.0,-10730.229999999981,-0.05414458858639385
BAJFINANCE,2018-01-16,2018-01-24,1692.0,1739.75,118.0,5634.5,0.028221040189125295
TATAMOTORS,2018-01-24,2018-01-25,403.95,399.9,495.0,-2004.75,-0.010025993316004485
SBIN,2018-01-01,2018-01-25,306.8,312.0,651.0,3385.1999999999825,0.016949152542372843
BAJFINANCE,2018-01-25,2018-02-01,1714.0,1742.9,116.0,3352.4000000000233,0.016861143523920707
BRITANNIA,2018-01-25,2018-02-02,2303.1,2365.05,86.0,5327.700000000012,0.026898528070861134
ULTRACEMCO,2018-02-02,2018-02-06,4139.0,4095.1,48.0,-2107.2000000000116,-0.010606426673109468
NESTLEIND,2018-02-02,2018-02-07,713.65,698.9,280.0,-4130.0,-0.02066839487143558
POWERGRID,2017-12-06,2018-02-27,112.78,111.6,1695.0,-2000.1000000000058,-0.01046284802269912
ADANIPORTS,2018-02-27,2018-03-06,410.0,395.6,487.0,-7012.799999999988,-0.03512195121951214
HINDUNILVR,2018-03-06,2018-03-07,1293.2,1297.0,154.0,585.1999999999825,0.002938447262604357
NTPC,2018-02-06,2018-03-12,137.79,142.29,1451.0,6529.5,0.032658393207054215
ASIANPAINT,2018-02-07,2018-03-15,1123.8,1161.0,177.0,6584.399999999994,0.033101975440469875
ONGC,2018-03-15,2018-03-20,179.75,174.5,1112.0,-5838.0,-0.02920723226703755
GRASIM,2018-03-07,2018-03-28,1110.58,1039.87,180.0,-12727.800000000017,-0.063669433989447
BAJAJFINSV,2018-01-16,2018-04-03,493.9,541.4,404.0,19190.0,0.09617331443612068
HEROMOTOCO,2018-01-25,2018-04-05,3586.5,3790.0,55.0,11192.5,0.05674055485849714
UPL,2018-04-05,2018-04-06,503.4,501.67,397.0,-686.8099999999686,-0.003436630909813193
RELIANCE,2018-03-28,2018-04-11,873.32,922.75,229.0,11319.470000000001,0.05660010076489711
TCS,2018-03-20,2018-04-12,1435.47,1567.55,139.0,18359.119999999966,0.09201167561843851
SUNPHARMA,2018-04-12,2018-04-13,513.3,512.7,389.0,-233.39999999996508,-0.001168907071887608
APOLLOHOSP,2018-04-13,2018-04-16,1081.65,1095.9,184.0,2622.0,0.013174317015670503
ADANIENT,2018-04-16,2018-04-17,140.85,139.65,1419.0,-1702.7999999999884,-0.008519701810436554
UPL,2018-04-17,2018-04-19,504.23,511.8,396.0,2997.720000000001,0.015012990103722493
ITC,2018-04-19,2018-04-20,277.0,275.75,722.0,-902.5,-0.004512635379061372
SBIN,2018-04-11,2018-04-20,257.4,241.85,777.0,-12082.350000000006,-0.06041181041181035
BAJAJ-AUTO,2018-04-06,2018-04-27,2780.75,2953.0,71.0,12229.75,0.06194372021936528
ITC,2018-04-27,2018-05-02,279.9,286.6,714.0,4783.800000000047,0.023937120400143074
GRASIM,2018-04-20,2018-05-02,1099.03,1096.64,181.0,-432.5899999999674,-0.002174644914151454
POWERGRID,2018-05-02,2018-05-03,115.43,116.31,1732.0,1524.1600000000035,0.007623668023910555
ICICIBANK,2018-04-23,2018-05-07,279.2,292.9,716.0,9809.200000000012,0.04906876790830942
DRREDDY,2018-03-12,2018-05-10,2155.55,1989.35,92.0,-15290.400000000023,-0.07710329150332873
SUNPHARMA,2018-05-10,2018-05-11,497.0,471.0,402.0,-10452.0,-0.052313883299798795
HINDALCO,2018-05-03,2018-05-15,231.4,243.75,864.0,10670.399999999994,0.0533707865168539
BHARTIARTL,2018-04-04,2018-05-17,362.41,337.94,551.0,-13482.970000000001,-0.06752021191468234
MARUTI,2018-05-07,2018-05-21,8736.05,8434.95,22.0,-6624.199999999953,-0.03446637782521833
APOLLOHOSP,2018-05-11,2018-05-21,1050.0,981.25,190.0,-13062.5,-0.06547619047619048
ULTRACEMCO,2018-05-17,2018-05-22,3949.9,3751.05,50.0,-9942.5,-0.05034304665940907
AXISBANK,2018-05-21,2018-05-22,528.0,522.8,378.0,-1965.6000000000058,-0.009848484848484934
BPCL,2018-05-15,2018-05-23,405.95,375.9,492.0,-14784.600000000006,-0.07402389456829662
SBIN,2018-05-02,2018-05-23,241.2,263.45,829.0,18445.25,0.09224709784411278
INDUSINDBK,2018-05-23,2018-05-25,1852.55,1914.0,107.0,6575.149999999994,0.03317049472348927
EICHERMOT,2018-05-22,2018-05-28,2990.28,3068.28,66.0,5148.0,0.026084513824792325
LT,2018-05-23,2018-05-29,1330.95,1381.0,150.0,7507.5,0.0376047184342011
ADANIPORTS,2018-05-29,2018-05-31,375.0,393.5,533.0,9860.5,0.04933333333333333
HEROMOTOCO,2018-05-28,2018-06-12,3608.15,3693.0,55.0,4666.75,0.023516206366143287
NTPC,2018-05-22,2018-06-15,137.46,130.33,1454.0,-10367.020000000019,-0.0518696348028517
SUNPHARMA,2018-06-15,2018-06-18,571.9,571.0,349.0,-314.1000000000058,-0.0015737016961006771
HCLTECH,2018-06-18,2018-06-19,467.08,459.6,428.0,-3201.439999999973,-0.01601438725700086
UPL,2018-06-12,2018-06-20,460.03,434.67,434.0,-11006.23999999999,-0.05512683955394204
