stock,buy_date,sell_date,buy_price,sell_price,quantity,profit,profit_percent
IPCALAB,2018-01-30,2018-02-06,281.27,278.0,711.0,-2324.970000000001,-0.01162583994027085
DIVISLAB,2018-02-02,2018-02-06,1020.0,1004.05,179.0,-2855.0500000000175,-0.01563725490196083
GLENMARK,2018-02-01,2018-02-09,588.0,536.0,340.0,-17680.0,-0.08843537414965986
APOLLOHOSP,2018-02-02,2018-02-09,1155.55,1123.0,173.0,-5631.149999999994,-0.028168404655791575
ABBOTINDIA,2018-02-06,2018-02-09,5261.0,5575.0,37.0,11618.0,0.059684470632959515
APOLLOHOSP,2018-02-12,2018-02-15,1158.0,1205.0,158.0,7426.0,0.04058721934369603
DIVISLAB,2018-02-09,2018-02-20,1013.95,1012.0,197.0,-384.1500000000233,-0.0019231717540313085
GRANULES,2018-02-02,2018-02-22,120.9,112.5,1654.0,-13893.600000000006,-0.06947890818858565
DRREDDY,2018-02-19,2018-02-27,2155.0,2236.0,88.0,7128.0,0.03758700696055684
CIPLA,2018-02-27,2018-02-28,586.65,591.0,333.0,1448.5500000000175,0.007414983380209704
DIVISLAB,2018-02-28,2018-03-05,1028.95,1012.0,191.0,-3237.4500000000116,-0.016473103649351326
LUPIN,2018-02-07,2018-03-07,804.4,762.7,227.0,-9465.899999999965,-0.051839880656389774
LALPATHLAB,2018-03-07,2018-03-12,877.0,917.0,199.0,7960.0,0.04561003420752566
LAURUSLABS,2018-02-12,2018-03-13,103.6,108.62,1930.0,9688.600000000006,0.048455598455598554
SYNGENE,2018-03-13,2018-03-14,282.75,285.98,707.0,2283.610000000015,0.01142351900972597
ZYDUSLIFE,2018-02-22,2018-03-16,399.9,379.2,469.0,-9708.299999999988,-0.05176294073518377
SUNPHARMA,2018-03-14,2018-03-20,520.3,509.9,384.0,-3993.600000000006,-0.01998846819142798
GRANULES,2018-03-06,2018-03-22,110.2,104.5,1762.0,-10043.399999999994,-0.05172413793103451
APOLLOHOSP,2018-03-16,2018-03-23,1076.0,1006.65,177.0,-12274.950000000012,-0.06445167286245355
ABBOTINDIA,2018-03-23,2018-03-26,5350.0,5399.95,33.0,1648.3500000000058,0.009336448598130808
TORNTPHARM,2018-03-20,2018-04-05,627.5,666.5,311.0,12129.0,0.062151394422310755
GLENMARK,2018-02-21,2018-04-09,524.05,563.05,379.0,14781.0,0.07442037973475814
SUNPHARMA,2018-04-09,2018-04-10,511.1,508.5,391.0,-1016.6000000000058,-0.005087067110154613
APOLLOHOSP,2018-04-10,2018-04-11,1085.7,1111.0,184.0,4655.1999999999825,0.023302938196555174
LALPATHLAB,2018-04-12,2018-04-13,880.0,880.0,227.0,0.0,0.0
SUNPHARMA,2018-04-13,2018-04-17,512.7,513.0,390.0,116.9999999999709,0.0005851375073141301
APOLLOHOSP,2018-04-17,2018-04-19,1082.0,1126.7,184.0,8224.800000000017,0.04131238447319782
LALPATHLAB,2018-04-20,2018-04-23,847.0,848.0,236.0,236.0,0.0011806375442739079
ZYDUSLIFE,2018-03-22,2018-04-24,377.0,404.0,491.0,13257.0,0.07161803713527852
ALKEM,2018-04-23,2018-04-24,1840.05,1924.9,108.0,9163.800000000017,0.04611287736746292
GLENMARK,2018-04-24,2018-04-25,580.15,568.6,344.0,-3973.2000000000116,-0.019908644316125063
SUNPHARMA,2018-04-24,2018-04-25,517.0,514.4,386.0,-1003.6000000000058,-0.005029013539651882
CIPLA,2018-04-25,2018-04-26,592.5,598.9,337.0,2156.7999999999884,0.010801687763713042
LALPATHLAB,2018-04-27,2018-04-30,847.9,846.0,235.0,-446.5,-0.002240830286590373
APOLLOHOSP,2018-04-25,2018-04-30,1089.6,1090.0,183.0,73.20000000001164,0.0003671071953011114
SUNPHARMA,2018-05-02,2018-05-03,517.0,533.75,386.0,6465.5,0.03239845261121857
GLENMARK,2018-04-30,2018-05-04,571.1,535.35,350.0,-12512.5,-0.06259849413412712
SUNPHARMA,2018-05-04,2018-05-07,517.85,513.0,386.0,-1872.1000000000058,-0.009365646422709322
