stock,buy_date,sell_date,buy_price,sell_price,quantity,profit,profit_percent
CROMPTON,2018-03-15,2018-03-16,222.5,228.2,898.0,5118.599999999977,0.025617977528089836
GMRINFRA,2018-03-16,2018-03-23,18.05,16.6,11080.0,-16065.99999999997,-0.08033240997229912
HEROMOTOCO,2018-01-15,2018-03-23,3620.05,3415.0,55.0,-11277.75,-0.05664286404883915
BERGEPAINT,2018-03-23,2018-03-27,201.88,209.21,990.0,7256.700000000012,0.036308698236576245
RBLBANK,2018-02-22,2018-03-27,471.95,477.35,423.0,2284.2000000000116,0.011441890030723666
EXIDEIND,2018-03-27,2018-04-02,220.5,228.6,907.0,7346.6999999999825,0.036734693877550996
BAJAJFINSV,2018-01-17,2018-04-03,500.01,541.4,399.0,16514.609999999986,0.08277834443311131
ICICIPRULI,2018-03-27,2018-04-06,392.5,401.0,509.0,4326.5,0.02165605095541401
SBILIFE,2018-03-08,2018-04-10,648.0,697.0,308.0,15092.0,0.07561728395061729
IDEA,2018-03-23,2018-04-12,46.85,44.4,4268.0,-10456.600000000035,-0.05229455709711852
UBL,2018-04-10,2018-04-17,996.1,1100.0,200.0,20780.0,0.10430679650637484
IDFC,2018-04-17,2018-04-18,52.45,53.25,3813.0,3050.399999999994,0.015252621544327877
ADANIPORTS,2018-04-06,2018-04-24,380.7,393.0,525.0,6457.5,0.032308904649330214
BAJAJ-AUTO,2018-04-02,2018-04-27,2810.0,2953.0,71.0,10153.0,0.05088967971530249
ITC,2018-04-27,2018-05-02,279.9,286.6,714.0,4783.800000000047,0.023937120400143074
GRASIM,2018-04-24,2018-05-02,1077.72,1096.64,185.0,3500.2000000000116,0.017555580299150126
PEL,2018-04-18,2018-05-03,2523.38,2464.76,79.0,-4630.9800000000105,-0.023230746062820457
ICICIGI,2018-04-12,2018-05-04,765.15,724.0,261.0,-10740.149999999994,-0.05378030451545446
IDFCFIRSTB,2018-05-02,2018-05-09,47.8,45.25,4184.0,-10669.199999999983,-0.05334728033472798
BHEL,2018-05-02,2018-05-10,87.85,80.6,2276.0,-16501.0,-0.08252703471826979
PFC,2018-05-10,2018-05-15,66.64,60.92,3001.0,-17165.72,-0.08583433373349338
MOTHERSON,2018-05-15,2018-05-17,147.91,146.53,1352.0,-1865.7600000000093,-0.00932999797173954
SAIL,2018-05-09,2018-05-21,75.75,71.9,2640.0,-10163.99999999997,-0.05082508250825075
SBIN,2018-05-17,2018-05-23,242.55,263.45,824.0,17221.599999999977,0.08616780045351465
TATACOMM,2018-05-21,2018-05-28,609.0,641.7,328.0,10725.600000000006,0.05369458128078825
IDFC,2018-05-23,2018-05-28,50.0,52.7,4000.0,10800.0,0.054000000000000055
TATAPOWER,2018-05-28,2018-05-29,81.95,82.75,2440.0,1952.0,0.009762050030506371
MUTHOOTFIN,2018-04-03,2018-05-29,416.0,395.0,480.0,-10080.0,-0.05048076923076923
MCDOWELL-N,2018-05-28,2018-05-29,657.6,674.98,304.0,5283.520000000019,0.026429440389294397
ATUL,2018-05-29,2018-05-30,2705.3,2780.0,73.0,5453.099999999977,0.027612464421690686
SIEMENS,2018-05-03,2018-06-04,1058.95,993.1,188.0,-12379.799999999988,-0.062184239104773616
ABB,2018-05-30,2018-06-05,1239.9,1159.0,161.0,-13024.900000000023,-0.06524719735462545
IEX,2018-05-29,2018-06-06,53.16,53.67,3762.0,1918.6200000000244,0.009593679458239374
TATACONSUM,2018-06-05,2018-06-13,264.2,270.0,757.0,4390.600000000006,0.02195306585919762
INDIAVIX,2018-06-13,2018-06-19,12.52,12.96,15974.0,7028.560000000027,0.03514376996805122
INDHOTEL,2018-06-19,2018-06-25,133.9,132.1,1493.0,-2687.4000000000233,-0.013442867811799935
NIFTYPHARMA,2018-06-25,2018-06-28,9264.3,9150.05,21.0,-2399.25,-0.012332286303336465
CHAMBLFERT,2018-06-28,2018-06-29,157.1,156.65,1273.0,-572.8499999999767,-0.002864417568427681
LUPIN,2018-06-07,2018-07-04,766.6,938.0,260.0,44564.0,0.22358465953561177
MUTHOOTFIN,2018-06-04,2018-07-04,377.8,396.35,529.0,9812.950000000012,0.049100052938062494
ABFRL,2018-05-04,2018-07-05,143.6,136.1,1392.0,-10440.0,-0.05222841225626741
BHARTIARTL,2018-05-30,2018-07-16,345.33,320.44,579.0,-14411.309999999969,-0.07207598528943326
TATASTEEL,2018-07-05,2018-07-16,55.35,51.9,3613.0,-12464.850000000035,-0.06233062330623311
PETRONET,2018-07-04,2018-07-16,219.7,207.0,910.0,-11557.0,-0.057806099226217524
HINDALCO,2018-06-29,2018-07-16,230.2,213.0,868.0,-14929.599999999977,-0.07471763683753253
LUPIN,2018-07-16,2018-07-17,816.0,828.0,245.0,2940.0,0.014705882352941176
DLF,2018-07-05,2018-07-18,181.5,171.25,1101.0,-11285.25,-0.05647382920110193
SHRIRAMFIN,2018-07-17,2018-07-19,1270.0,1178.5,157.0,-14365.5,-0.07204724409448819
IBULHSGFIN,2018-07-18,2018-07-19,1199.05,1211.25,166.0,2025.2000000000116,0.010174721654643297
