stock,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
AARTIIND,5.764130761643992,-15.743162538516376,0.04683092501757047,61.35099561245416,-14.771855613731569,-13.818186412659028,12.399246819662778,-30.108185432879928,-29.190931273082477,11.08419750218398,34.91100940396885,23.037599837698806
ABB,40.037827425560145,-3.4064017831057725,-36.24236743825553,13.571145199624302,35.04248941551984,32.068944618369876,-83.38497847267848,32.199090149952156,4.092437149640471,1.0403617199495687,33.907065470754105,4.006742438918986
ABBOTINDIA,-14.487693293761815,24.077238972470727,10.182449840825358,28.056086059298913,14.788814262526406,33.27312115371919,724.158424345403,9.13846551221338,20.25138856754435,-1.4209058436673976,36.79261949386942,15.041825027332944
ABCAPITAL,-36.22091365719912,24.411501309455787,-60.09675968914334,48.03772006043043,-23.044710562905603,16.770700684486204,2.3143165766810188,11.087889513673089,-98.26282408611529,-24.945530579760323,107.04711373178944,-3.223331817738607
ABFRL,-6.483681030600552,12.005021519555559,-35.812701055029926,-42.25192489726658,0.49750488082112154,4.551992661351967,-73.07677747762114,53.66380130845022,23.712898584961273,22.7502216005956,15.676991654327445,14.33782017244387
ACC,-16.197526637347305,-30.09354346499894,-10.18610695183426,37.7242012919522,-2.236761681520695,-1.6723856919181217,85.75451204660229,4.952706630464842,1.1834865796075174,7.4141756873024605,4.526239826456946,8.83752975292802
ADANIENT,10.781389234141312,-23.971793919745018,20.669656902680423,17.042623228240107,51.51918776587121,12.368790522527295,-12.554173370854521,101.05898268617523,-48.582907676971104,78.48165394560453,70.8202042158536,49.55361324316722
ADANIPORTS,-10.528430529303023,13.190900162160457,-3.5831534669088736,55.92203249102167,18.256347079642897,-16.64315842223478,-1.7392960468823326,27.560366551164027,-5.691779846377676,2.121045325412138,29.882231894641397,42.522652461265565
ALKEM,13.663074443564383,-8.284650056481933,-1.2974197588419774,2.9711264217430315,-10.985162092461419,3.624733401552716,30.269391172317853,3.9066422899926674,16.723808813129015,-15.733042036270362,40.24381199297691,22.344941871462876
AMBUJACEM,-31.004339534955292,-15.41313099778171,-7.5771230268707335,42.328314950055166,8.981145968614669,-0.5394097274438514,-17.80303274799742,13.230977574685921,13.060667213453604,16.73968915680394,8.811930110269373,10.161388707025143
APOLLOHOSP,9.771395683322181,24.676640284202524,-55.12907281935853,38.37928622778413,-22.63789489435036,37.8159016012972,-59.81059479881186,34.694468187630115,2.017539423573056,10.893236158963859,74.34837218141413,-2.2126585690051765
APOLLOTYRE,-2.7388771771860823,0.6745924942060983,-47.53536800773619,32.19609890129193,9.290236457604784,-0.7367711164464765,-63.79886923349986,3.4568228623386354,6.874222240195618,19.20136560469691,45.75284567591907,16.448117851506414
ASHOKLEY,9.481914733508622,8.49558842381405,-46.38379271021944,43.37570374590397,-6.11069431215113,14.818143699794447,-86.62855939512451,38.31036204580509,30.80300042941606,24.780029165365356,-2.3315004592001767,-1.3198553170630452
ASIANPAINT,-33.952656336683084,-0.8934635823206643,6.145245113035102,22.33941379738643,15.762810436999485,-5.7399729582010774,364.02640102827934,18.312265572229826,3.4444864354274514,-2.63896574200584,8.477391014492664,44.04319512725997
ASTRAL,-3.1688061087702275,11.710177039984668,-7.4389737484810015,25.787505507491815,29.999816028092518,17.335607181100375,-68.4117230696524,43.97248545626558,29.186497909960686,-18.014800483928518,41.86668951211331,38.44260386145135
ATUL,6.342967785387288,0.5232756384565889,-0.22512845681624727,27.612540676641395,1.2275185595814753,1.7819570841706933,590.7141772925993,36.36288148117946,26.083468723172853,-8.538344584765355,11.174554708173723,21.5361472681313
AUBANK,45.714117337781154,11.124974998070392,-52.074784882454274,36.369434255726595,-17.493643295618856,25.27489018309993,55.564069325610596,-1.579262276484017,-23.226519026972383,19.792237783755276,58.98997006804232,6.2508208943213734
AUROPHARMA,-15.645275378549561,2.3225049539477993,10.098692754768624,86.45246509086223,-22.0126914842003,8.300900835958647,561.6069164812407,-1.89542934597078,1.70084087872765,-10.77021305903467,5.072027838559545,6.6226862090771
AXISBANK,34.801888036447835,-14.015952816701752,-46.234617473868894,20.651366006156888,4.176830226837904,1.2801544559144853,-77.40178446611392,41.9044290697383,-10.534011490750904,34.480173599937906,28.624982790197627,20.163840791101652
BAJAJ-AUTO,33.03817833134933,-17.312962422584498,-34.95996339040758,57.65384922013512,13.143587368168076,1.3867541583789667,15.037726678969843,6.4626814772901,9.692536735903946,19.06021324464027,17.13412603050474,18.052353115805143
BAJAJFINSV,-34.64414490599975,21.191719620798988,-48.37842449335052,34.09492776799552,6.272539332151017,22.38884075783394,-8.461161979777334,33.5865889088474,3.3482438496533202,-18.050526784806053,72.46411199170164,5.7845519211732075
BAJFINANCE,-18.399750478437703,19.4510377496131,-46.5529573073328,27.291364975861942,11.836851089165133,53.94449146522413,61.38839147217124,40.86155965299603,3.5872333906575045,0.826723545708195,28.429323688114195,19.124431703134327
BALKRISIND,-3.9685331335723046,-28.141407995515713,6.239222942101064,39.401611398906155,31.924508815473864,3.3584184749764434,-28.19145743672865,-5.689473721132264,7.873942477858608,13.526482478674728,32.37890181614572,25.009916564823033
BALRAMCHIN,-11.592787877617834,6.274025147656358,-9.42714740886204,24.486882565971957,6.333534219500704,16.55440660854106,6.0401926005924444,6.369025804313912,24.269015220833907,34.09705212811037,13.840180400215328,16.816922513273123
BANDHANBNK,-42.701271792922526,4.746542791248764,10.725446001124993,76.73895780110267,-18.900943741368117,24.0690950468684,11.858026915930797,-10.578561096737259,-18.9185809472909,-23.680310558826555,42.371795359696804,8.509006018141152
