stock,Monday,Tuesday,Wednesday,Thursday,Friday
AARTIIND,13.073093805730206,50.34289595527961,-48.062857184994435,11.357744859336538,18.063020046931587
ABB,-103.0488225814724,52.351334078694606,54.44034117540804,46.77612156336277,25.146233923243134
ABBOTINDIA,744.9955720691639,28.94997020557637,38.513206457456626,27.10896412457989,55.23811270614611
ABCAPITAL,-75.2966417503392,26.770868678083556,-5.094482148130819,77.64320155262584,-62.38523474094897
ABFRL,-170.71349195405895,78.5786386838575,-13.45360125529249,105.8896417652297,-11.734660493735692
ACC,14.605757358517256,73.75511147106448,-18.583358481528713,60.3570612017538,-35.67688041888182
ADANIENT,-20.38924930656546,287.771586216809,16.726724207298602,17.853030389054155,26.487684160552657
ADANIPORTS,-46.45951369883692,156.4060218000723,4.691801920659763,10.646076653062252,27.817982999914072
ALKEM,-23.91853539740093,20.999400999400997,2.3414315204108536,30.950315484544344,64.72873907276377
AMBUJACEM,-69.48467998489605,82.93460032939566,-11.848161690444257,55.901775444151305,-13.428502043217094
APOLLOHOSP,-75.6148130255285,58.868367794056596,-20.306025857398513,78.54661844591637,51.70831814552543
APOLLOTYRE,-138.84820274332924,45.58941069065069,69.4304204882739,31.360331316735603,12.633065913230357
ASHOKLEY,-115.54257104677505,94.08717347100787,1.609244474537463,46.703322779136975,3.6960315611987986
ASIANPAINT,282.41148394778486,81.71607519714621,21.76503287156022,27.84101818132921,27.172735793283564
ASTRAL,-102.29119694285193,86.58338499340952,85.41274877918785,45.14911160419225,28.678594995090737
ATUL,522.820853526819,94.7061115679203,-15.54578367496775,69.30337573242016,43.97424301646052
AUBANK,-94.09492974291159,160.44360398575333,48.610979455289794,84.88033251356474,-33.520820331988254
AUROPHARMA,472.52787152435945,110.62653412285806,59.44581465514577,-30.94851288854976,23.892866287673886
AXISBANK,-97.11006800438723,106.21187372645416,22.99314685225098,6.713248694271627,2.76302261707072
BAJAJ-AUTO,-34.82341354896488,74.14993156130389,22.80994723994092,46.3658071252367,30.53337430312284
BAJAJFINSV,-161.47360178101562,139.35777273900533,20.32108140880656,26.960199360089614,69.48339649838125
BAJFINANCE,-116.83549648273346,184.24016261645554,42.41551396593325,36.91908429398306,57.783346322219884
BALKRISIND,-92.93885094127101,79.11174654815707,94.28697081451868,25.862959663356897,-8.343602291588148
BALRAMCHIN,7.958990959994765,73.03689594400392,-37.68758518753137,55.45833635102518,35.60686364301483
BANDHANBNK,-199.21164299864282,120.8096705657185,16.908761444407272,77.3531535412472,50.82519769606546
BANKBARODA,-75.32649787735043,59.66125326765768,68.12977570371191,-13.385853165997755,1.1052545744986944
BATAINDIA,-68.43842946050908,51.001831227608285,16.344243828487002,31.671802855193285,19.518218453094004
BEL,-97.27851019695714,73.58502983710783,19.0624307533219,50.618690338078125,38.48240584658217
BERGEPAINT,-124.48021310872069,102.89965565625722,25.22536173154899,51.11999678941858,25.64026335466788
BHARATFORG,-103.3551851080948,93.36291320585721,8.358622267203474,66.47884030005781,-13.89621139916398
BHARTIARTL,34.87626777757612,61.3547422001753,-17.46977115145485,11.613162154797427,53.65466979303013
BHEL,-119.16012845127598,77.30159647643951,-12.609383376910063,121.91259498576822,-10.749886021159238
BIOCON,-154.83772761448765,81.08960694640568,66.11894197812121,3.0800829392666156,-7.226935699617222
BOSCHLTD,1499.7961422056835,58.891083252448006,29.773196099372168,31.948199528644203,-8.70587196540379
BPCL,100.0165657630024,56.75265654633802,-33.36668812855174,24.085823680638043,40.20059244853098
BRITANNIA,59.710715751335364,32.21770994917728,32.855593213980704,33.65476022564573,26.170376111914674
BSOFT,-112.83736459547181,177.8444455356939,87.07201674615709,50.48759460768883,-43.77940575651807
CANBK,-86.54468738421005,89.4600768501812,44.91873301647179,7.918940830002253,8.893612674542762
CANFINHOME,-28.63068690079419,48.09296198417009,2.631270900040104,32.0795385701602,-18.82884390531111
