stock,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
AARTIIND,2018,,,,,,,,12.40163265306123,-13.714268857488424,11.551724137931034,5.980377358490567,-0.4820936639118457
AARTIIND,2019,12.298208757187089,-15.357664233576642,11.748080052530915,3.896702789946978,17.42138364779874,-4.718498659517426,-6.162464985994398,-4.475330754167266,0.7556675062972292,15.942028985507244,-3.669724770642202,0.9917755200774125
AARTIIND,2020,18.039823536425416,1.4913007456503704,-20.401064047472886,41.68080185042405,-11.50363636363636,-4.6649012018741045,6.969762419006475,3.451676528599606,-3.151862464183381,-2.5390625,15.180340864050738,7.222608695652169
AARTIIND,2021,-7.936507936507936,6.185567010309279,3.3445972495088365,17.334603267638645,2.024685352951903,1.8669778296382729,9.451575262543757,-1.1174362218005507,0.6500541711809318,3.0818278427205104,-5.315060180034395,5.484210526315792
AARTIIND,2022,-2.705361534677816,-8.66498989002318,5.470822281167109,-7.4817136886102436,-10.071090047393366,-7.067609014535272,10.90599261573416,3.5493730896388307,-10.86124401913875,-5.702702702702709,-6.1613351877607725,-9.4962962962963
AARTIIND,2023,-11.726170979364563,0.3787878787878788,-4.060819580938249,7.884615384615384,-7.695761494252857,-2.2403258655804397,-7.326732673267326,2.7196652719665275,0.22448979591837198,-7.670396744659204,23.68949364265001,16.975697569756967
AARTIIND,2024,-5.587964384402822,,,,,,,,,,,
ABB,2017,,,,,,,-1.8059392265193435,-6.113843991567112,5.037593984962406,-0.6878761822871818,-0.14357501794687724,0.3648329637313047
ABB,2018,17.284169473497606,-9.705882352941178,-15.131578947368421,5.061967467079776,-8.134328358208954,-0.7506255212677231,2.6182432432432434,8.264462809917356,8.755760368663594,-11.049339819318972,5.6878306878306875,-3.901734104046243
ABB,2019,-3.787878787878788,-3.149606299212598,5.967741935483871,12.250950570342198,6.398617979811669,1.2452830188679216,-14.428482198625858,-1.3284132841328413,14.206766917293237,-2.488231338264963,-0.8236101578586137,-12.846517917511832
ABB,2020,1.1589147286821742,-6.685039370078748,-21.4873949579832,-1.126544897735968,-15.348731368756399,15.789473684210526,-6.619446903807089,8.698630136986306,-10.06770833333333,2.7745664739884393,22.101656196459167,7.872756353296596
ABB,2021,12.252164764910566,9.712230215827338,-8.414949719938422,-0.5722460658082975,18.790496760259177,6.721698113207547,-5.875,13.389121338912133,-0.37333333333333335,12.162740899357592,-1.689156626506022,11.166253101736972
ABB,2022,4.4464609800362975,-5.722416812609449,-1.9621279608944848,-0.6631927996210327,18.992238572093132,-6.337552915192533,19.956140350877195,18.8953700328108,-9.345518867924527,2.062973216370365,-4.490989416139598,-10.439771833860261
ABB,2023,6.305600626643548,15.233520914728127,1.2371756185878093,0.8781785925487824,24.713978744410227,12.018048619736874,3.0738956368324537,-2.7737744174186902,-4.541220307405682,0.5623471882640587,9.538461538461538,6.6438356164383565
ABB,2024,2.506426735218509,,,,,,,,,,,
ABBOTINDIA,2017,,,,,,,6.042654028436019,-4.89749430523918,1.076633812768705,1.674641148325359,21.586206896551722,3.906161137440762
ABBOTINDIA,2018,2.256596906278435,3.063063063063063,-4.869565217391305,12.555605991829324,8.146341463414634,8.402349043818703,7.168506450325844,8.45190479312832,-7.172455089820355,-0.0655307994757536,-1.9210526315789473,-3.1252401075681933
ABBOTINDIA,2019,5.948933929981575,-8.665115530748388,-0.04102283604539861,1.5205479452054793,5.05050505050505,13.05732484076433,-5.485040797824116,8.595139300533491,12.347641759406464,6.490319061903463,8.753224419604472,3.096855743403381
ABBOTINDIA,2020,-4.534697159669059,28.270510430138668,0.5733170579679986,13.541935483870967,-8.0,-6.680491778995705,-1.2698412698412698,2.4753094136767095,0.23086269744835966,-6.6791501093317756,-0.9073359073359074,2.3379946038785793
ABBOTINDIA,2021,-9.777777777777779,0.5874125874125874,3.2413793103448274,1.4327798607391538,5.4053163806449485,4.702194357366771,12.724313022700114,-1.682864450127877,2.9000000000000004,-11.429337315099323,-4.888273729363057,3.2733050847457625
ABBOTINDIA,2022,-16.633827646997823,7.708384786367009,2.1773648109283292,-2.2859999999999956,3.8423077375560326,4.766428424877956,4.2193147845290175,-8.407014801426408,3.2520325203252036,1.7561105207226355,2.9727124029213234,4.74330548336098
ABBOTINDIA,2023,-2.0644765236380302,-2.5120772946859904,7.579462102689487,0.45022421120673484,-3.120675030135274,8.511600928074246,3.0015021459227404,-3.5946622185154293,1.7180616740088104,-2.4644446857018782,7.165333093589858,-3.59291309622954
ABBOTINDIA,2024,12.764434687156964,,,,,,,,,,,
ABCAPITAL,2017,,,,,,,,,-22.14736842105263,-3.552060737527121,8.688340807174889,-4.089606668403227
ABCAPITAL,2018,-8.15231965674443,-4.631217838765005,-10.597243491577341,4.918032786885246,-8.291614518147684,-7.825484764542943,13.25860069578663,-3.784520968291859,-18.69918699186991,-4.945553539019966,-0.6146572104018967,-2.0098039215686248
ABCAPITAL,2019,-19.26147704590818,14.00247831474597,0.624999999999994,-6.285988483685218,-1.0989010989010932,-10.444119082479261,-10.597826086956522,7.8692493946731235,-3.3579965850882054,1.2923076923076888,31.268791340950088,-3.9794007490636703
ABCAPITAL,2020,-2.1213616181549004,-18.421052631578945,-45.11082138200782,16.144018583042982,-1.0764262648008611,35.79849946409433,-15.462315462315457,10.108303249097476,0.4846526655896677,2.6128266033254137,30.409356725146193,-9.69116080937168
