stock,2017,2018,2019,2020,2021,2022,2023,2024
AARTIIND,,17.959183673469386,15.408005307386116,47.020388696792644,59.06349206349206,-39.901623216920804,6.4199148378643835,-5.587964384402822
ABB,-3.1077348066298343,-5.690480411274597,-2.348484848484848,-5.891472868217054,81.2737719511208,21.46098003629764,74.22928439545686,2.506426735218509
ABBOTINDIA,29.88270142180095,37.669699727024565,71.7557251908397,20.12240900308308,23.796825396825398,10.961319091569013,6.86729570211181,12.764434687156964
ABCAPITAL,-22.484210526315792,-46.3931348887101,2.345309381237519,-16.329551060680807,39.63963963963965,15.982972136222918,6.546854942233625,8.059160881376393
ABFRL,0.2613240418118566,18.384728340675487,16.23931623931623,-28.709469615632376,62.89742051589684,5.147864184008771,-21.937172774869108,3.44367918240391
ACC,11.223203026481714,-12.902853182395754,-2.6899798251513114,12.543432939541349,36.42066420664206,8.836101340219948,-9.433962264150944,3.9866369710467704
ADANIENT,21.512481644640243,-3.1975867269984986,32.208784213876505,130.5468561792339,249.1002044989775,124.48979591836735,-25.863908404892005,6.977625437070471
ADANIPORTS,10.286334645135033,-3.4732633683158363,-6.298003072196626,27.367863293151412,44.62376237623763,11.455782312925177,24.45255474452555,15.935068677360494
ALKEM,19.383546776644238,-12.314606741573034,3.3651859504132275,39.35207241543593,22.843293447679745,-17.765432098765437,73.3,-1.4413780980840252
AMBUJACEM,9.595959595959595,-16.820702402957487,-11.973094170403582,26.428027418126437,50.58776648734808,35.29715762273902,-1.3383958234456488,0.59411542814032
APOLLOHOSP,-6.367768755584913,3.9735099337748347,13.886034932427096,68.25174825174825,108.43703334992531,-10.264635124298316,28.068207314336995,1.2809557028252496
APOLLOTYRE,4.980392156862741,-12.322893363161814,-30.147215703008325,9.05752753977967,21.537607549264493,47.35887553842665,38.39939024390244,3.400309119010827
ASHOKLEY,18.560794044665016,-13.611462284028661,-20.61403508771929,18.024691358024683,24.040404040404038,12.843676355066776,21.740591397849457,-4.870828848223902
ASIANPAINT,3.3868092691622103,19.47598253275109,30.994152046783626,54.6613255644574,22.161654813905642,-9.941469253112643,11.38800537757813,-3.0309734513274336
ASTRAL,23.71788577974144,35.054021608643446,31.439273822736652,45.92330347469138,74.53391511305037,-15.854898600399883,30.0,-4.615789473684213
ATUL,12.700369913686806,24.77396021699819,18.19505094614265,58.441430332922316,41.705863907180934,-8.562341599165139,-12.540349594981423,-4.450625869262865
AUBANK,24.096834264432026,-6.278366111951589,29.970902036857417,7.4583543664815775,18.620154330852486,22.14658709436777,19.865628340204616,0.35659704533876135
AUROPHARMA,0.4092968864201073,6.938060844823806,-37.45041717959239,100.69762371920645,-21.17248062015504,-40.10665937371803,149.6607245543416,1.3232164337929078
AXISBANK,8.713733075435194,10.116351363353749,19.835961140308978,-17.275459098497496,9.05518126403594,33.85629343076151,16.41885814064235,2.196347031963466
BAJAJ-AUTO,19.26794344012887,-17.17325227963526,16.654438738077772,9.01301174230403,-6.553607358436333,10.649588289112529,90.77456712075862,9.346073454762616
BAJAJFINSV,26.73123486682808,25.25837042771434,44.58940905602456,-5.184979671977211,85.15929742283151,-8.785377358490566,8.89620024514548,-1.1782296650717732
BAJFINANCE,27.167630057803464,52.753606429418056,59.33609958506224,24.969274403214367,32.1709028831563,-8.968858131487888,11.509146341463415,4.83123940743384
BALKRISIND,41.667655786350146,-22.922839377373457,6.796116504854369,67.02138441268876,42.06981016533987,-7.805246680341142,21.08235294117647,2.293043140303148
BALRAMCHIN,-12.95811518324608,-24.90802060338485,77.78315585672799,-8.253205128205122,114.65968586387434,6.512436480342345,2.5999999999999943,-5.327373761778197
BANDHANBNK,,17.258991274739312,-8.611111111111114,-20.490663488279694,-37.06293706293706,-9.187827098274855,0.332917186849764,-5.582922824302132
BANKBARODA,-0.43196544276458937,-26.495196777192444,-17.89176090468497,-39.80392156862745,27.152831652443755,121.3349225268176,23.64756293519015,-1.3090128755364856
BATAINDIA,35.996368588288696,49.23992068737608,55.41740674955595,-9.523536822815252,18.646754811503214,-11.272874058127021,-0.09672056823333287,-3.4981500168180317
BEL,23.314378554021115,-51.603305785123965,14.536082474226792,20.19144481005085,65.13002364066193,42.08581983518046,82.85999003487794,-0.40650406504065045
BERGEPAINT,13.980753260710275,22.692599366552184,55.51537070524412,46.715752311051226,0.973232196589757,-25.00038659594538,25.511242136732605,-0.9383044092003616
BHARATFORG,31.904115784712804,-29.67291335315676,-5.253871789845131,8.12480691998764,29.680237962446547,23.996054670987732,40.12450481041313,0.24801984158731968
BHARTIARTL,38.74364975169816,-40.845796802475505,54.30427720628046,12.133568437293368,32.902912621359235,16.863028550777013,26.543399471712014,6.546442687747035
BHEL,2.716186252771622,-23.60020931449503,-41.19241192411924,-17.58620689655172,52.652005174644245,30.20576131687242,140.1741293532338,-0.6578947368420967
BIOCON,62.594268476621416,16.632671982199156,-6.289910600255425,57.86793413681887,-21.835375026864394,-27.897054775667495,-5.454545454545457,7.5235109717868305
