stock,year,Q1,Q2,Q3,Q4
AARTIIND,2018,,,-4.489795918367347,24.568965517241377
AARTIIND,2019,8.19880583812473,13.813952296774529,-10.364145658263306,10.013175230566535
AARTIIND,2020,-7.237391200667704,20.2775636083269,9.503239740820735,20.416015624999993
AARTIIND,2021,4.369841269841265,27.921459447578567,8.401400233372229,6.493092454835284
AARTIIND,2022,-6.119035907525829,-27.178683385579937,5.822209599545583,-17.445945945945947
AARTIIND,2023,-15.263675073698007,-3.076923076923077,-2.752475247524748,32.20752797558494
AARTIIND,2024,-5.587964384402822,,,
ABB,2017,,,-3.522099447513812,0.5302378905130476
ABB,2018,-8.526856940258819,-7.8233927188226176,19.594594594594593,-7.574704656011119
ABB,2019,-0.45454545454545453,22.41825095057034,-5.124921923797624,-13.315400134498992
ABB,2020,-27.573643410852718,3.467133326041786,-10.072392062913384,40.346820809248555
ABB,2021,13.134255887351296,29.470672389127323,3.7777777777777777,19.914346895074946
ABB,2022,-2.631578947368421,8.47939365229749,34.868421052631575,-10.7101164070578
ABB,2023,25.14220705346986,30.662329982259017,-7.285517178982613,14.205378973105134
ABB,2024,2.506426735218509,,,
ABBOTINDIA,2017,,,0.0,31.125598086124405
ABBOTINDIA,2018,-0.4549590536851683,30.712664548343167,8.512470163305592,-0.8525557011795568
ABBOTINDIA,2019,-3.7904711766254278,21.575342465753426,20.12692656391659,18.625579492773383
ABBOTINDIA,2020,18.06371213304928,1.6129032258064515,4.749206349206349,-3.8734252106580906
ABBOTINDIA,2021,-4.9523809523809526,11.810391001606856,22.939068100358423,-13.609265581280972
ABBOTINDIA,2022,-8.742092709737634,6.502857142857142,-0.7802164605881273,13.708820403825717
ABBOTINDIA,2023,3.094957485045377,5.334222220220228,-0.9012875536480687,-0.9662360221474325
ABBOTINDIA,2024,12.764434687156964,,,
ABCAPITAL,2017,,,-22.14736842105263,-0.16268980477224043
ABCAPITAL,2018,-21.72164119066774,-12.721311475409841,-11.093931194433702,-9.301270417422867
ABCAPITAL,2019,-3.5928143712574934,-11.948176583493284,-7.717391304347821,26.21538461538461
ABCAPITAL,2020,-58.46077947705969,47.15447154471546,-3.341103341103328,34.283452098178934
ABCAPITAL,2021,34.45945945945947,-3.831891223732997,-1.7421602787456445,10.12433392539965
ABCAPITAL,2022,-16.718266253869967,-19.910514541387027,24.168514412416847,35.980036297640645
ABCAPITAL,2023,-1.8613607188703503,27.207792207792213,-7.500642178268683,-8.211224771910421
ABCAPITAL,2024,8.059160881376393,,,
ABFRL,2017,,,-5.34262485481997,2.7678571428571463
ABFRL,2018,-11.30690161527166,-7.094594594594595,33.98022702306845,8.360215053763447
ABFRL,2019,10.180995475113122,-4.409799554565704,-1.627742392073597,11.15384615384615
ABFRL,2020,-34.72192398539832,-15.853248064624712,7.754442649434578,25.188536953242842
ABFRL,2021,20.125974805039,8.859803674804931,14.75791433891992,11.611179613645705
ABFRL,2022,10.131434830230011,-21.496417263789365,44.09578860445913,-13.305237808549064
ABFRL,2023,-25.043630017452006,-1.3438368860055634,1.3207547169811376,3.854190852101236
ABFRL,2024,3.44367918240391,,,
ACC,2017,,,4.665825977301387,7.090820786789701
ACC,2018,-13.249393554349087,-13.019732778518254,20.017499144063617,-3.949044585987261
ACC,2019,12.373907195696033,-4.999088865941807,2.676864244741874,-8.406127357893402
ACC,2020,-32.870048644892286,37.913223140495866,5.786686838124055,14.423994065072252
ACC,2021,16.96494464944649,5.439330543933055,12.766703395772819,-0.7982826859864656
ACC,2022,-4.158689166926403,-1.1627906976744187,11.424229866003609,6.322314049586773
ACC,2023,-31.788351107465136,6.283305030157519,10.042699950730828,8.47990566964724
ACC,2024,3.9866369710467704,,,
ADANIENT,2017,,,-14.90455212922172,47.24199288256227
ADANIENT,2018,-5.128205128205128,-29.706982543640905,24.319159101767784,16.436865021770664
ADANIENT,2019,-6.651814131126664,-0.19960079840320114,-5.488795063332244,44.78912513070757
ADANIENT,2020,-34.47362081426163,17.179294823705906,88.34394904458598,54.35483870967742
ADANIENT,2021,110.83844580777095,36.5036231884058,-1.876675603217158,17.32646048109965
ADANIENT,2022,17.60932944606414,7.45829244357213,54.311988336884596,21.652579192669247
ADANIENT,2023,-54.618787405672656,39.11525029103609,1.268476779536639,19.351933308198245
ADANIENT,2024,6.977625437070471,,,
ADANIPORTS,2017,,,2.5919392047767706,6.165904637491841
ADANIPORTS,2018,-11.044477761119438,0.5540540540540572,-9.310344827586208,16.00600600600601
ADANIPORTS,2019,-2.7649769585253483,7.5088454986240265,0.7526098567613554,-9.62962962962963
ADANIPORTS,2020,-33.64684064114452,40.65420560747663,-0.014515894904924189,35.881854154889766
ADANIPORTS,2021,39.089108910891085,-3.9738259150705444,4.523860171594693,-0.5446993940219241
ADANIPORTS,2022,5.170068027210884,-14.809160305343507,21.023146100545485,4.363335244283075
ADANIPORTS,2023,-23.120437956204373,17.58722085353254,11.939287166282696,22.993688007213706
ADANIPORTS,2024,15.935068677360494,,,
ALKEM,2017,,,-1.2291078793140797,20.025096156469075
ALKEM,2018,-10.561797752808989,-1.1134343962362756,11.480910247043868,-5.0608272506082725
ALKEM,2019,-9.090909090909092,-4.297994269340974,13.728358208955227,3.1387707769617363
ALKEM,2020,10.624106717484516,4.145089138147609,17.31991525423729,6.557377049180328
ALKEM,2021,-5.9336971628080315,15.10377324556671,23.18874378109453,-9.170655906163065
ALKEM,2022,-0.35665294924554186,-14.175242995997712,8.75882108758821,-8.193081057902878
ALKEM,2023,13.310000000000006,3.9159743369896165,3.3979749442251643,45.69146700294242
