stock,year,Monday,Tuesday,Wednesday,Thursday,Friday
AARTIIND,2018,10.98310291858679,8.057228915662652,16.013061224489803,13.311523313429053,10.387876152914503
AARTIIND,2019,14.013605442176871,15.408005307386116,6.074482758620685,16.699300699300696,14.14246575342466
AARTIIND,2020,41.63742690058479,37.640449438202246,45.68975795874568,46.79285714285714,43.876337693222354
AARTIIND,2021,51.138845553822144,47.61406133133882,53.94736842105263,53.39481609787307,59.06349206349206
AARTIIND,2022,-40.098376783079196,-37.68882175226586,-38.33,-38.55276381909548,-40.634565861717114
AARTIIND,2023,-1.572224041925978,2.780029178148805,6.095551894563426,5.057471264367808,8.218835873095163
AARTIIND,2024,-7.813939207859991,-7.9459583237920715,-7.6275724887154635,-3.7267080745341614,-2.380952380952381
ABB,2017,-4.005524861878453,-3.3769813921433496,-3.4112686853200493,-3.99556817394916,-3.653344320835053
ABB,2018,-5.690480411274597,-6.497533474277664,-8.450704225352112,-8.559630459126536,-8.382337590034451
ABB,2019,-0.6923076923076923,-2.348484848484848,10.33513184892469,-3.0483612193444944,-1.9969278033794162
ABB,2020,-5.155642023346303,-8.06569483441672,-6.565891472868221,-6.254826254826256,-6.164901664145234
ABB,2021,73.75296912114014,70.76057431121458,70.11494252873564,71.85205121304162,81.2737719511208
ABB,2022,24.41016333938294,23.813827383642113,22.601038609166853,21.141000180538008,20.298386734372883
ABB,2023,82.13692907364928,77.75483630952381,75.3328402366864,65.07478632478633,64.18277680140598
ABB,2024,1.7095115681233972,4.742767837208564,3.494806431029617,0.8891645988420183,-0.6674070767985144
ABBOTINDIA,2017,27.061611374407583,28.381912415006425,28.000000000000004,29.411764705882355,28.512309495896837
ABBOTINDIA,2018,37.669699727024565,37.48854262144821,38.24884792626728,37.224264705882355,37.657058388765705
ABBOTINDIA,2019,74.24422442244224,71.7557251908397,75.17626712784356,74.02144772117963,76.0
ABBOTINDIA,2020,21.819691338387173,23.530865069000807,19.238259292146687,20.057895939666338,22.669067475360116
ABBOTINDIA,2021,19.41027715317633,22.101217168481742,23.002182705270588,25.937904269081503,23.796825396825398
ABBOTINDIA,2022,12.93166027169968,14.271275839742264,14.442675159235668,16.341492728656704,16.614898370661
ABBOTINDIA,2023,6.7079671314531035,3.496098197097966,2.971703266688514,2.4434389140271495,2.519263102056236
ABBOTINDIA,2024,3.556531284302964,3.592814371257485,4.322217043095047,7.285048708174502,8.21717512219787
ABCAPITAL,2017,-17.903833370263687,-13.992537313432834,-9.597447226313198,-11.558752997601916,-22.484210526315792
ABCAPITAL,2018,-46.3931348887101,-46.16419919246299,-47.496617050067655,-46.71552660152008,-46.00216099405726
ABCAPITAL,2019,4.661885245901652,2.345309381237519,-1.463907117617368,-0.35641547861507994,1.3761467889908345
ABCAPITAL,2020,-15.266798418972336,-17.335945151811938,-15.737543167242219,-20.59925093632959,-17.25581395348837
ABCAPITAL,2021,34.54851374088614,34.17225950782997,39.390519187358926,30.016137708445388,39.63963963963965
ABCAPITAL,2022,14.125386996904027,13.302752293577964,13.55212355212356,13.463708160962772,13.009049773755658
ABCAPITAL,2023,6.546854942233625,3.857374392220414,9.345479082321203,8.155080213903755,14.482758620689657
ABCAPITAL,2024,5.9462722607908205,2.662375658279686,1.906158357771261,3.8439472174411864,2.1398002853067046
ABFRL,2017,-1.7711962833913957,0.9677419354838743,-0.5557180462123361,-0.2898550724637681,-1.9034090909090875
ABFRL,2018,18.384728340675487,18.479532163742686,20.46783625730994,19.533527696793,15.373805508712756
ABFRL,2019,9.161041465766633,16.23931623931623,22.752953261427844,16.776315789473685,17.217874274173184
ABFRL,2020,-31.26050420168067,-28.121606948968513,-29.160403693364827,-31.020153750259716,-33.50020859407593
ABFRL,2021,65.30920060331825,62.391108440973284,59.254807692307686,55.75379125780551,62.89742051589684
ABFRL,2022,6.243154435925529,0.2970989164627633,0.06993006993006595,-1.4344262295081927,-1.0309278350515463
ABFRL,2023,-18.673647469458988,-22.40322298125766,-21.418338108882516,-21.021505376344088,-19.7524219590958
ABFRL,2024,2.5327704954454515,-5.581874356333681,-6.2383419689119215,-5.245038477116248,-2.1026072329688814
ACC,2017,7.143757881462796,10.373417721518994,8.312208556317087,8.429962175234081,9.776588462256512
ACC,2018,-12.902853182395754,-13.332374928119602,-16.741573033707866,-18.75731401504597,-18.563006226238365
ACC,2019,-1.5933155170664022,-2.6899798251513114,-1.907725612231095,0.33540802213000753,-0.9189925119128658
ACC,2020,13.403141361256546,11.27933383800152,14.732453092425295,8.342253144233345,11.724674972914416
ACC,2021,30.073312444863546,30.619684082624545,29.141680837733812,26.368421052631586,36.42066420664206
ACC,2022,8.159312525045639,11.780575539568346,9.398663697104677,10.379093764019736,6.740174672489078
ACC,2023,-8.1214109926169,-13.241794221167233,-9.865005192107997,-11.000224953475525,-8.771639879353806
ACC,2024,5.122494432071269,1.6245806109835856,1.411449644393697,-1.148936170212766,-1.7052631578947368
ADANIENT,2017,17.327459618208536,22.09737827715356,22.226331360946755,22.168585220943182,23.784592370979816
ADANIENT,2018,-3.1975867269984986,-3.2435740514075952,-8.895184135977331,-12.493180578286964,-16.77469535908737
ADANIENT,2019,38.30069697975439,32.208784213876505,34.49838187702266,38.55263157894736,39.0728476821192
ADANIENT,2020,145.91273821464395,139.96058142399608,131.26957359672366,126.88477951635848,118.69450443964482
ADANIENT,2021,252.0571544385894,252.1646987587042,249.45918367346937,227.90065968180056,249.1002044989775
ADANIENT,2022,116.26822157434403,119.27532013969733,121.47024504084014,122.989479836353,127.1520443683993
