stock,entry_date,exit_date,profit_pct
NESTLEIND,2021-04-07 00:00:00,2021-04-13 00:00:00,-1.1879266689250128
NESTLEIND,2021-06-16 00:00:00,2021-06-18 00:00:00,-1.8662952646239555
NESTLEIND,2021-08-17 00:00:00,2021-08-24 00:00:00,5.4149311118231385
NESTLEIND,2022-03-17 00:00:00,2022-03-21 00:00:00,-2.4759562841530025
NESTLEIND,2022-07-06 00:00:00,2022-07-07 00:00:00,-0.8972569883563755
NESTLEIND,2022-07-22 00:00:00,2022-07-25 00:00:00,-1.3791035037963513
NESTLEIND,2022-08-04 00:00:00,2022-08-10 00:00:00,-0.462197580645165
NESTLEIND,2022-10-19 00:00:00,2022-10-25 00:00:00,2.398989898989899
NESTLEIND,2023-02-16 00:00:00,2023-02-17 00:00:00,-3.051020408163263
NESTLEIND,2023-03-17 00:00:00,2023-03-22 00:00:00,-0.2088080979384204
NESTLEIND,2023-03-31 00:00:00,2023-04-10 00:00:00,-0.40650406504065045
NESTLEIND,2023-04-17 00:00:00,2023-04-21 00:00:00,1.433367449357482
NESTLEIND,2023-07-06 00:00:00,2023-07-07 00:00:00,-0.9777092678871403
NESTLEIND,2023-12-19 00:00:00,2023-12-20 00:00:00,-1.5255500215694768
NESTLEIND,2023-12-28 00:00:00,2024-01-03 00:00:00,1.522062469013398
DEEPAKNTR,2017-09-26 00:00:00,2017-10-11 00:00:00,12.523068810967573
DEEPAKNTR,2017-12-15 00:00:00,2017-12-22 00:00:00,7.924528301886798
DEEPAKNTR,2018-01-05 00:00:00,2018-01-11 00:00:00,10.71501741446424
DEEPAKNTR,2018-04-24 00:00:00,2018-04-27 00:00:00,-1.8315018315018317
DEEPAKNTR,2018-07-10 00:00:00,2018-07-12 00:00:00,-5.948616600790518
DEEPAKNTR,2018-08-06 00:00:00,2018-08-14 00:00:00,11.244019138755975
DEEPAKNTR,2018-09-14 00:00:00,2018-09-25 00:00:00,1.7197219173069842
DEEPAKNTR,2018-11-02 00:00:00,2018-11-12 00:00:00,-3.278097982708942
DEEPAKNTR,2019-01-17 00:00:00,2019-01-23 00:00:00,0.8366358432408657
DEEPAKNTR,2019-05-06 00:00:00,2019-05-08 00:00:00,-4.929824561403513
DEEPAKNTR,2019-05-27 00:00:00,2019-06-10 00:00:00,-6.105531643551722
DEEPAKNTR,2019-08-27 00:00:00,2019-08-29 00:00:00,-2.6833943195678653
DEEPAKNTR,2019-10-17 00:00:00,2019-10-25 00:00:00,7.721639656816019
DEEPAKNTR,2019-11-05 00:00:00,2019-11-08 00:00:00,-2.157676348547721
DEEPAKNTR,2020-01-09 00:00:00,2020-01-15 00:00:00,0.02564102564103147
