stock,buy_date,sell_date,buy_price,sell_price,hold_days,profit_loss_pct
VOLTAS,2017-09-12,2017-09-28,562.2,503.1,12,-10.51227321237994
CUB,2017-09-12,2017-09-27,151.23,135.5,11,-10.401375388481116
CIPLA,2017-09-12,2017-12-12,558.55,591.45,62,5.890251544176904
HINDCOPPER,2017-09-12,2017-09-25,64.75,58.4,9,-9.80694980694981
SUNPHARMA,2017-09-13,2017-11-16,509.4,509.0,43,-0.07852375343540975
CROMPTON,2017-09-13,2018-01-22,221.25,261.7,89,18.282485875706207
LUPIN,2017-09-13,2017-11-07,995.55,860.0,36,-13.61558937270855
AXISBANK,2017-09-14,2017-10-05,519.45,501.05,14,-3.5422081047261593
ADANIPORTS,2017-09-14,2017-11-16,405.5,398.1,42,-1.8249075215782926
AUBANK,2017-09-15,2018-01-01,282.45,330.5,72,17.0118605062843
INDUSTOWER,2017-09-15,2017-11-14,375.05,394.05,39,5.065991201173177
ONGC,2017-09-15,2017-11-24,166.25,181.0,47,8.87218045112782
ZEEL,2017-09-18,2017-10-10,544.0,522.25,15,-3.9981617647058822
GMRINFRA,2017-09-18,2017-09-27,18.15,15.9,7,-12.396694214876023
ABBOTINDIA,2017-09-18,2018-01-10,4076.0,5247.8,78,28.748773307163887
CHAMBLFERT,2017-09-18,2017-09-26,150.0,138.5,6,-7.666666666666666
CANFINHOME,2017-09-19,2017-09-22,575.0,530.0,3,-7.82608695652174
COFORGE,2017-09-20,2017-12-13,534.2,611.5,57,14.470235866716576
APOLLOTYRE,2017-09-20,2017-10-03,262.25,243.95,8,-6.9780743565300325
COROMANDEL,2017-09-20,2018-01-29,437.0,530.15,88,21.315789473684205
BAJAJFINSV,2017-09-21,2017-09-27,546.9,504.5,4,-7.752788443956844
LTIM,2017-09-21,2018-03-14,781.0,1358.5,117,73.94366197183099
CANBK,2017-09-22,2017-09-27,326.0,316.95,3,-2.776073619631905
EICHERMOT,2017-09-25,2017-09-27,3095.0,3048.8,2,-1.4927302100161493
RECLTD,2017-09-25,2017-10-04,125.93,116.14,6,-7.774160247756695
CUMMINSIND,2017-09-25,2017-11-14,893.5,843.4,33,-5.60716284275322
MRF,2017-09-25,2017-09-27,63200.0,61505.0,2,-2.6819620253164556
GODREJCP,2017-09-25,2017-10-26,620.03,616.0,20,-0.649968549908871
DEEPAKNTR,2017-09-25,2017-12-06,177.2,202.3,49,14.164785553047418
MARUTI,2017-09-27,2018-01-09,7735.0,9385.1,70,21.332902391725924
KOTAKBANK,2017-09-28,2017-11-06,1006.1,1012.35,24,0.6212106152469934
MRF,2017-09-29,2017-12-06,63220.0,66550.0,45,5.267320468206264
M&M,2017-10-03,2017-12-06,628.53,684.35,44,8.881039886719815
NTPC,2017-10-06,2017-11-14,146.33,147.17,25,0.5740449668557199
FEDERALBNK,2017-10-06,2017-11-07,118.0,113.8,20,-3.559322033898307
PIIND,2017-10-09,2018-01-25,746.15,916.1,75,22.77692153052336
