stock,buy_date,sell_date,buy_price,sell_price,hold_days,profit_loss_pct
BALKRISIND,2022-02-28,2022-06-07,1819.0,2251.0,66,23.749312809235846
BALKRISIND,2022-03-07,2022-06-07,1825.15,2251.0,62,23.33232884968358
BALKRISIND,2022-09-06,2022-12-09,2003.0,2059.0,65,2.7958062905641534
SUNTV,2020-11-19,2021-03-25,421.65,451.0,86,6.960749436736635
SUNTV,2021-03-19,2021-03-25,478.55,451.0,4,-5.75697419287431
ALKEM,2021-03-25,2021-04-05,2652.0,2714.0,5,2.3378582202111615
ALKEM,2021-12-21,2022-04-01,3420.0,3498.0,70,2.280701754385965
ONGC,2022-10-20,2022-12-21,129.4,143.5,42,10.896445131375575
IOC,2022-06-29,2022-12-23,73.23,72.95,121,-0.382356957531068
DRREDDY,2021-08-27,2021-10-06,4592.5,4950.0,27,7.784431137724551
GLENMARK,2022-06-23,2022-11-10,376.0,414.0,94,10.106382978723403
TATACHEM,2023-03-29,2023-04-17,957.0,990.0,9,3.4482758620689653
COFORGE,2022-09-07,2022-11-17,3512.0,3870.7,48,10.213553530751703
COFORGE,2023-03-29,2023-04-20,3666.0,3811.0,12,3.955264593562466
JUBLFOOD,2023-01-18,2023-08-16,504.05,481.7,141,-4.434083920246012
JUBLFOOD,2023-03-20,2023-08-16,433.8,481.7,100,11.041954817888422
PVRINOX,2020-04-15,2020-08-31,1088.0,1323.0,96,21.599264705882355
PVRINOX,2020-05-07,2020-08-31,906.0,1323.0,81,46.026490066225165
PVRINOX,2021-03-30,2021-07-20,1244.0,1299.9,76,4.493569131832804
PNB,2020-05-27,2020-12-23,27.55,31.9,148,15.789473684210517
PNB,2021-04-09,2021-04-19,37.95,33.05,5,-12.911725955204231
DALBHARAT,2021-04-26,2021-11-29,1475.0,1837.15,148,24.552542372881362
DALBHARAT,2022-02-25,2022-08-19,1580.0,1612.0,118,2.0253164556962027
COLPAL,2020-03-05,2020-08-28,1336.65,1390.0,119,3.9913215875509596
COLPAL,2021-05-03,2021-05-07,1492.1,1504.0,4,0.7975336773674748
COLPAL,2021-12-14,2022-04-08,1462.0,1561.2,80,6.7852257181942575
COLPAL,2023-01-16,2023-04-13,1494.0,1548.0,58,3.614457831325301
HCLTECH,2021-11-01,2022-01-27,1188.0,1079.55,60,-9.128787878787882
HCLTECH,2021-11-29,2022-01-27,1134.0,1079.55,42,-4.801587301587305
HCLTECH,2022-07-06,2022-12-09,988.25,1029.45,106,4.168985580571722
TRENT,2022-02-22,2022-05-10,1049.95,1055.0,50,0.4809752845373546
NMDC,2020-03-20,2020-08-25,71.5,94.25,106,31.818181818181817
NMDC,2021-10-29,2022-02-14,142.95,152.35,73,6.575725778244146
APOLLOHOSP,2022-05-26,2022-08-11,3699.0,4422.95,54,19.57150581238172
BIOCON,2023-02-06,2023-07-24,241.5,249.0,113,3.1055900621118013
MFSL,2021-10-26,2021-11-16,979.9,956.0,14,-2.4390243902439
MFSL,2022-10-28,2023-02-01,700.05,751.5,66,7.349475037497329
AMBUJACEM,2022-02-28,2022-04-22,315.45,375.0,35,18.877793628150265
TORNTPHARM,2021-11-11,2021-11-18,1418.5,1389.53,5,-2.042298202326403
LICHSGFIN,2020-03-11,2020-10-12,288.95,300.8,146,4.101055545942212
LICHSGFIN,2020-03-13,2020-10-12,280.85,300.8,144,7.103435997863623
LICHSGFIN,2020-03-25,2020-10-12,210.25,300.8,136,43.06777645659929
FEDERALBNK,2022-05-09,2022-05-11,93.75,91.0,2,-2.933333333333333
FEDERALBNK,2023-02-27,2023-05-12,128.65,126.0,48,-2.0598523124757135
CUB,2020-07-06,2020-10-28,126.5,151.7,81,19.920948616600782
CUB,2021-08-09,2021-11-15,155.3,162.35,66,4.539600772697992
CUB,2021-08-27,2021-11-15,148.25,162.35,53,9.510961214165258
CUB,2022-05-16,2022-06-02,122.9,142.5,13,15.947925142392183
JKCEMENT,2021-11-30,2022-02-11,3237.85,3186.0,52,-1.6013712803249043
JKCEMENT,2021-12-07,2022-02-11,3363.6,3186.0,47,-5.280057081698178
INDIGO,2020-07-30,2020-08-24,938.05,1159.0,17,23.554181546825866
INDIGO,2021-04-20,2021-08-06,1547.0,1647.0,75,6.464124111182936
INDIGO,2021-08-09,2021-08-20,1663.25,1653.0,8,-0.6162633398466857
KOTAKBANK,2021-04-22,2021-06-25,1732.75,1734.0,45,0.07213966238638003
KOTAKBANK,2022-06-30,2022-08-04,1658.0,1832.0,25,10.494571773220748
NATIONALUM,2020-03-13,2020-08-31,30.8,35.75,115,16.07142857142857
NATIONALUM,2022-07-06,2023-01-12,70.5,82.7,130,17.304964539007095
NATIONALUM,2023-02-13,2023-02-24,78.7,78.3,9,-0.5082592121982283
ZEEL,2022-01-06,2022-02-14,324.6,249.1,26,-23.259396179913747
ZEEL,2022-03-07,2022-04-19,238.15,264.25,28,10.959479319756452
ZEEL,2022-04-22,2022-09-16,270.7,261.0,101,-3.5833025489471697
MPHASIS,2022-09-26,2023-02-27,2039.1,2050.0,106,0.5345495561767492
AXISBANK,2020-03-25,2020-10-26,332.0,493.0,146,48.493975903614455
AXISBANK,2021-04-13,2021-11-11,660.0,737.5,144,11.742424242424242
AXISBANK,2021-04-22,2021-11-11,656.9,737.5,139,12.26975186481961
IRCTC,2020-03-26,2020-10-22,171.23,265.6,143,55.11300589849911
IRCTC,2023-01-11,2023-06-22,640.9,645.0,109,0.6397253861756941
CONCOR,2020-09-17,2020-12-21,388.4,381.55,65,-1.763645726055604
CONCOR,2020-10-09,2020-12-21,369.0,381.55,50,3.4010840108401115
LTIM,2022-05-17,2022-11-17,4296.5,4930.95,126,14.766670545793085
LTIM,2022-12-29,2023-04-17,4405.3,4324.0,71,-1.8455042789367393
LTIM,2023-01-20,2023-04-17,4265.0,4324.0,55,1.3833528722157091
HDFCBANK,2021-03-23,2021-07-26,1507.0,1434.0,83,-4.844061048440611
