Symbol,Buy date,Sell date,Buy Price,Sell Price,Shares,Profit,Profit Percentage,Hold Days
LAURUSLABS,2020-07-10,2020-08-21,119.4,229.19,1675,183898.25,91.95142378559463,42
LAURUSLABS,2021-01-04,2021-01-13,359.0,347.4,557,-6461.200000000013,-3.23119777158775,9
LAURUSLABS,2021-01-25,2021-01-28,379.9,358.0,526,-11519.399999999989,-5.764674914451166,3
NESTLEIND,2020-12-10,2021-01-07,1830.0,1813.7,109,-1776.699999999995,-0.8907103825136587,28
DEEPAKNTR,2020-01-09,2020-01-31,390.0,387.35,512,-1356.7999999999884,-0.6794871794871736,22
DEEPAKNTR,2020-05-05,2020-05-19,512.0,501.5,390,-4095.0,-2.05078125,14
DEEPAKNTR,2020-12-29,2021-02-09,923.35,1043.95,216,26049.600000000006,13.061136080576166,42
DEEPAKNTR,2021-08-30,2021-10-11,2275.0,2872.3,87,51965.10000000001,26.25494505494506,42
VEDL,2022-03-21,2022-05-02,399.05,407.6,501,4283.550000000006,2.1425886480390957,42
BEL,2023-11-30,2024-01-11,146.0,184.35,1369,52501.149999999994,26.26712328767123,42
IRCTC,2021-02-25,2021-04-05,344.73,340.9,580,-2221.4000000000237,-1.1110144170800453,39
GUJGASLTD,2020-12-18,2020-12-22,364.5,348.95,548,-8521.400000000007,-4.266117969821677,4
TATAPOWER,2021-09-23,2021-11-04,144.2,231.25,1386,120651.30000000002,60.36754507628296,42
TVSMOTOR,2021-01-29,2021-03-12,557.1,585.2,359,10087.900000000009,5.043977741877584,42
TVSMOTOR,2021-05-17,2021-06-28,617.05,622.0,324,1603.8000000000147,0.8022040353293973,42
TVSMOTOR,2023-07-25,2023-08-07,1383.7,1344.85,144,-5594.40000000002,-2.807689528076905,13
DIXON,2021-06-17,2021-07-29,4295.0,4242.95,46,-2394.3000000000084,-1.211874272409783,42
SBIN,2021-09-29,2021-11-10,459.7,523.7,435,27840.000000000025,13.92212312377639,42
PERSISTENT,2020-01-15,2020-01-29,706.85,696.6,282,-2890.5,-1.4500954940935133,14
