stock,buy_date,sell_date,buy_price,buying_day_near_desc_sentiment,sell_price,selling_day_near_desc_sentiment,hold_days,profit_loss_pct
TATASTEEL,2020-06-01,2020-07-30,31.56,negative,36.65,positive,59,16.128010139416986
TATASTEEL,2020-06-30,2020-07-30,32.74,negative,36.65,positive,30,11.942577886377508
TATASTEEL,2022-11-11,2022-12-22,107.55,negative,107.3,neutral,41,-0.23245002324500233
BOSCHLTD,2020-07-17,2020-08-03,13168.0,negative,12799.0,positive,17,-2.80224787363305
TITAN,2022-02-25,2022-05-04,2466.0,negative,2280.0,neutral,68,-7.542579075425791
PETRONET,2020-04-09,2020-06-01,223.1,negative,246.0,neutral,53,10.2644554011654
INDUSTOWER,2019-11-04,2019-12-02,215.0,negative,267.55,positive,28,24.441860465116285
GODREJCP,2020-05-08,2020-06-10,499.55,negative,633.75,neutral,33,26.86417775998398
BRITANNIA,2020-04-07,2020-05-07,2825.0,negative,2911.0,positive,30,3.0442477876106193
JSWSTEEL,2020-01-09,2020-01-31,277.7,negative,250.5,neutral,22,-9.79474252790781
JSWSTEEL,2020-05-26,2020-08-03,175.9,negative,219.5,neutral,69,24.786810687890842
JSWSTEEL,2022-02-25,2022-05-09,598.4,negative,678.85,neutral,73,13.444184491978618
GMRINFRA,2018-08-17,2018-09-11,19.2,negative,18.1,neutral,25,-5.729166666666656
IDEA,2021-08-06,2021-10-29,7.1,negative,9.5,neutral,84,33.802816901408455
ABFRL,2020-08-21,2020-10-28,146.05,negative,157.35,neutral,68,7.737076343717892
ABFRL,2020-09-14,2020-10-28,136.1,negative,157.35,neutral,44,15.613519470977225
ICICIBANK,2020-10-01,2020-10-13,368.4,negative,395.45,positive,12,7.342562432138982
MARUTI,2019-09-23,2019-09-25,6885.1,negative,6693.0,neutral,2,-2.79008293270977
IBULHSGFIN,2021-02-25,2021-03-25,226.5,negative,196.6,neutral,28,-13.200883002207508
ULTRACEMCO,2018-07-24,2018-07-25,4130.0,negative,4028.95,positive,1,-2.4467312348668324
WIPRO,2023-04-28,2023-05-25,384.9,negative,395.0,neutral,27,2.624058196934275
AUBANK,2022-08-04,2022-09-26,637.5,negative,597.0,neutral,53,-6.352941176470588
NTPC,2020-08-17,2020-08-31,94.95,negative,96.85,neutral,14,2.0010531858873004
VEDL,2022-10-06,2022-11-07,292.5,negative,306.3,neutral,32,4.717948717948722
ONGC,2022-05-31,2022-06-15,151.55,negative,151.0,positive,15,-0.36291652919829187
IOC,2019-09-23,2019-09-24,95.83,negative,92.17,positive,1,-3.819263278722735
PVRINOX,2022-09-29,2022-10-04,1754.1,negative,1742.85,neutral,5,-0.6413545407901489
HCLTECH,2020-04-07,2020-05-04,456.0,negative,514.9,neutral,27,12.916666666666663
NAUKRI,2022-08-30,2022-11-15,4330.0,negative,4156.4,positive,77,-4.009237875288692
MFSL,2022-05-11,2022-08-02,727.7,negative,847.0,positive,83,16.39411845540744
AMBUJACEM,2018-07-24,2018-08-28,213.55,negative,237.0,positive,35,10.98103488644345
AMBUJACEM,2018-07-26,2018-08-28,224.2,negative,237.0,positive,33,5.709188224799291
AMBUJACEM,2019-09-23,2019-09-24,219.5,negative,215.2,neutral,1,-1.9589977220956771
TORNTPHARM,2022-05-26,2022-05-30,1459.88,negative,1444.5,neutral,4,-1.0535112474998019
INDIGO,2020-06-03,2020-08-24,1019.0,negative,1159.0,neutral,82,13.738959764474975
INDIGO,2022-03-09,2022-04-12,1709.0,negative,1931.3,neutral,34,13.007606787595083
INDIGO,2022-03-16,2022-04-12,1900.0,negative,1931.3,neutral,27,1.6473684210526294
GODREJPROP,2020-01-29,2020-03-05,1090.0,negative,954.0,neutral,36,-12.477064220183486
ZEEL,2023-06-21,2023-07-21,180.0,negative,220.2,neutral,30,22.33333333333333
EICHERMOT,2022-01-03,2022-01-28,2712.5,negative,2618.0,neutral,25,-3.483870967741935
HDFCBANK,2022-03-14,2022-04-08,1442.2,negative,1516.55,positive,25,5.155318263763688
TATAMOTORS,2019-04-01,2019-05-06,187.3,negative,200.1,neutral,35,6.8339562199679555
TATAMOTORS,2019-10-27,2019-11-29,149.45,negative,160.95,neutral,33,7.6948812311809975
TATAMOTORS,2021-12-22,2022-03-07,470.25,negative,395.5,positive,75,-15.895800106326421
TATAMOTORS,2022-05-13,2022-06-03,403.85,negative,431.85,positive,21,6.933267302216168
TATAMOTORS,2022-05-20,2022-06-03,418.0,negative,431.85,positive,14,3.3133971291866087
TATAMOTORS,2023-01-10,2023-02-27,412.6,negative,418.95,positive,48,1.539020843431887
MCX,2020-04-23,2020-04-29,1058.05,negative,1046.9,neutral,6,-1.0538254335806307
ACC,2018-07-24,2018-08-10,1482.7,negative,1553.0,neutral,17,4.741350239428067
BAJAJ-AUTO,2020-04-07,2020-06-24,2270.0,negative,2809.8,positive,78,23.779735682819393
SAIL,2020-04-30,2020-07-14,31.9,negative,34.35,positive,75,7.680250783699069
SAIL,2020-07-08,2020-07-14,35.2,negative,34.35,positive,6,-2.414772727272731
SAIL,2020-07-09,2020-07-14,36.8,negative,34.35,positive,5,-6.657608695652163
INDHOTEL,2018-05-28,2018-06-28,142.65,negative,128.0,positive,31,-10.26989134244655
INDHOTEL,2018-11-22,2019-01-25,138.35,negative,133.55,,64,-3.4694615106613544
NAVINFLUOR,2023-01-12,2023-02-14,4105.8,negative,4096.0,neutral,33,-0.23868673583711292
HINDALCO,2020-08-13,2020-09-24,183.2,negative,159.2,positive,42,-13.100436681222707
HINDALCO,2022-12-05,2022-12-23,482.0,negative,432.0,neutral,18,-10.37344398340249
ASHOKLEY,2022-02-25,2022-04-18,118.0,negative,127.4,neutral,52,7.966101694915259
BPCL,2018-11-13,2018-12-24,302.7,negative,365.7,positive,41,20.812685827552034
BANDHANBNK,2019-10-25,2019-12-10,593.2,negative,523.8,neutral,46,-11.699258260283225
BANDHANBNK,2020-11-02,2021-01-25,301.1,negative,309.75,neutral,84,2.8727997343075313
BANDHANBNK,2020-11-09,2021-01-25,339.9,negative,309.75,neutral,77,-8.870255957634592
LT,2019-05-20,2019-07-25,1453.0,negative,1375.0,neutral,66,-5.368203716448726
LT,2020-08-10,2020-10-29,960.0,negative,933.5,neutral,80,-2.7604166666666665
ICICIPRULI,2020-04-27,2020-07-20,376.2,negative,436.75,neutral,84,16.09516214779373
HINDUNILVR,2020-04-07,2020-05-06,2449.0,negative,2003.0,positive,29,-18.211514904042467
HINDCOPPER,2021-10-14,2021-10-29,132.15,negative,127.2,neutral,15,-3.745743473325768
AUROPHARMA,2020-02-19,2020-02-24,604.4,negative,506.65,neutral,5,-16.173064195896757
M&MFIN,2022-02-16,2022-05-12,160.6,negative,162.9,positive,85,1.4321295143213022
IDFC,2020-01-09,2020-01-30,37.65,negative,34.1,positive,21,-9.428950863213805
INDUSINDBK,2019-05-20,2019-05-27,1494.0,negative,1616.0,positive,7,8.165997322623829
